  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-021194 O US MO KANSAS CITY      39 17 52.53N 094 41 19.84W POLE               1 00155 01135 N 2 C N 2011ACE02899OE A 2013255 
29-060763 U US MO EXCELSIOR SPRING 39 17 55.06N 094 12 55.33W T-L TWR            1 00061 00938 N 4 D N 2019ACE02791OE A 2019133 
29-020312 O US MO HIGBEE           39 17 55.48N 092 30 57.76W TOWER              1 00260 01132 D 2 C N 2009ACE00617OE C 2010020 
29-080507 U US MO KANSAS CITY      39 17 56.11N 094 40 29.91W TANK               1 00067 01060 N 4 D N 2021ACE03567OE A 2021277 
29-080333 O US MO KANSAS CITY      39 17 57.54N 094 40 34.09W BLDG               1 00055 01048 N 4 D N 2020ACE00525OE A 2021293 
29-060764 U US MO EXCELSIOR SPRING 39 18 00.16N 094 12 55.55W T-L TWR            1 00055 00950 N 4 D N 2019ACE02792OE A 2019133 
29-060757 U US MO EXCELSIOR SPRING 39 18 00.25N 094 12 54.79W T-L TWR            1 00069 00965 N 4 D N 2019ACE02780OE A 2019130 
29-001746 O US MO FARLEY           39 18 06.00N 094 50 58.00W TOWER              1 00035 00795 N 5 D N 1995ACE00018OE C 2014138 
29-060765 U US MO EXCELSIOR SPRING 39 18 07.17N 094 12 58.36W T-L TWR            1 00070 00963 N 4 D N 2019ACE02793OE A 2019133 
29-060760 U US MO EXCELSIOR SPRING 39 18 08.20N 094 12 58.01W T-L TWR            1 00064 00959 N 4 D N 2019ACE02779OE A 2019130 
29-083187 U US MO KANSAS CITY      39 18 10.58N 094 41 04.59W TANK               1 00040 01050 N 4 D N 2020ACE04203OE A 2022263 
29-000780 U US MO NORBORNE         39 18 11.00N 093 40 34.00W TANK               1 00150 00840 U     N                A 1988250 
29-060769 U US MO EXCELSIOR SPRING 39 18 12.87N 094 13 00.64W T-L TWR            1 00065 00939 N 4 D N 2019ACE02794OE A 2019134 
29-024165 O US MO KANSAS CITY      39 18 13.95N 094 42 03.30W TOWER              1 00042 01020 U 1 A U                A 2014086 
29-024166 O US MO KANSAS CITY      39 18 15.72N 094 42 11.32W POLE               1 00010 00987 U 1 A U                A 2014086 
29-024869 O US MO KEARNEY          39 18 17.01N 094 22 40.78W TOWER              1 00259 01142 D 4 D N 2014ACE00634OE A 2015180 
29-060748 U US MO EXCELSIOR SPRING 39 18 17.33N 094 13 01.61W T-L TWR            1 00073 00947 N 4 D N 2019ACE02778OE A 2019130 
29-002665 O US MO RAYVILLE         39 18 17.69N 094 06 27.04W TOWER              1 00265 01307 D 2 C N 2006ACE02046OE C 2014094 
29-004014 O US MO RICHMOND         39 18 17.77N 094 03 59.57W TOWER              1 00255 01171 D 5 D N 2005ACE02068OE C 2008098 
29-060767 U US MO EXCELSIOR SPRING 39 18 18.05N 094 13 02.68W T-L TWR            1 00070 00940 N 4 D N 2019ACE02795OE A 2019133 
29-023055 O US MO KANSAS CITY      39 18 19.12N 094 38 07.75W POLE               1 00157 01137 N 1 A N 2011ACE02222OE A 2014051 
29-000721 O US MO EXCELSIOR SPRGS  39 18 20.00N 094 08 55.00W TOWER              1 00256 01251 R 5 D M                C 2014138 
29-000036 O US MO KANSAS CITY      39 18 21.00N 094 34 31.00W TOWER              5 00305 01336 R 3 C M 1977ACE00513OE C 2014138 
29-050857 U US MO FERRELVIEW       39 18 22.40N 094 41 06.80W TOWER              1 00138 01154 N 4 D N 2015ACE04588OE A 2018024 
29-006202 U US MO ARMSTRONG        39 18 24.00N 092 41 25.00W TOWER              1 00150 01000 U     N                A 1988263 
29-060766 U US MO EXCELSIOR SPRING 39 18 24.18N 094 13 05.11W T-L TWR            1 00059 00953 N 4 D N 2019ACE02796OE A 2019133 
29-020021 O US MO NORBORNE         39 18 26.27N 093 39 18.51W TOWER              1 00332 01014 D 1 A N 2007ACE04411OE C 2008120 
29-060744 U US MO EXCELSIOR SPRING 39 18 28.08N 094 13 05.89W T-L TWR            1 00068 00983 N 4 D N 2019ACE02777OE A 2019129 
29-024167 O US MO KANSAS CITY      39 18 29.25N 094 43 35.76W POLE               1 00019 01011 U 1 A U                A 2014086 
29-060768 U US MO EXCELSIOR SPRING 39 18 29.36N 094 13 07.17W T-L TWR            1 00051 00974 N 4 D N 2019ACE02797OE A 2019133 
29-001952 O US MO KANSAS CITY      39 18 32.05N 094 41 06.15W BLDG-TWR           1 00096 01116 N 4 D N 2021ACE02463OE C 2024044 
29-002612 O US MO VANDALIA         39 18 33.00N 091 28 25.00W TOWER              1 00345 01097 D 2 C N 2002ACE01259OE C 2003110 
29-060770 U US MO EXCELSIOR SPRING 39 18 34.08N 094 13 09.04W T-L TWR            1 00059 00959 N 4 D N 2019ACE02798OE A 2019133 
29-060756 U US MO EXCELSIOR SPRING 39 18 34.22N 094 13 08.30W T-L TWR            1 00064 00958 N 4 D N 2019ACE02776OE A 2019130 
29-024168 O US MO KANSAS CITY      39 18 34.40N 094 42 02.46W NAVAID             1 00007 00970 U 1 A U                A 2014086 
29-024169 O US MO KANSAS CITY      39 18 35.63N 094 42 05.47W NAVAID             1 00032 00973 U 1 A U                A 2014086 
29-024180 O US MO KANSAS CITY      39 18 36.82N 094 41 07.32W TOWER              1 00139 01152 R 1 B U                A 2014086 
29-060771 U US MO EXCELSIOR SPRING 39 18 39.63N 094 13 11.23W T-L TWR            1 00078 00951 N 4 D N 2019ACE02799OE A 2019133 
29-001099 O US MO VANDALIA         39 18 43.00N 091 28 36.00W TOWER              1 00250 01000 R 5 D M 1999ACE01282OE C 2014138 
29-080215 U US MO KEARNEY          39 18 43.00N 094 21 48.00W TOWER              1 00120 00991 N 4 D N 2019ACE08170OE A 2021252 
29-000153 O US MO YATES            39 18 43.75N 092 37 41.30W TOWER              1 00323 01138 R 4 D P 2017ACE02626OE C 2017198 
29-060746 U US MO EXCELSIOR SPRING 39 18 43.98N 094 13 12.18W T-L TWR            1 00068 00963 N 4 D N 2019ACE02775OE A 2019129 
29-060772 U US MO EXCELSIOR SPRING 39 18 47.11N 094 13 14.20W T-L TWR            1 00060 00961 N 4 D N 2019ACE02800OE A 2019133 
29-025137 O US MO MEXICO           39 18 50.06N 091 57 16.35W TOWER              1 00265 01012 D 2 C N 2016ACE01634OE A 2016320 
29-060747 U US MO EXCELSIOR SPRING 39 18 51.08N 094 13 15.00W T-L TWR            1 00073 00969 N 4 D N 2019ACE02774OE A 2019129 
29-060778 U US MO EXCELSIOR SPRING 39 18 52.92N 094 13 16.49W T-L TWR            1 00065 00947 N 4 D N 2019ACE02801OE A 2019134 
29-083467 U US MO KANSAS CITY      39 18 55.84N 094 39 03.42W TOWER              1 00060 01032 N 4 D N 2022ACE02595OE A 2022328 
29-081408 U US MO LIBERTY          39 18 56.05N 094 31 19.01W T-L TWR            1 00075 01089 N 4 D N 2021ACE02654OE A 2022119 
29-060773 U US MO EXCELSIOR SPRING 39 18 59.70N 094 13 19.10W T-L TWR            1 00056 00915 N 4 D N 2019ACE02802OE A 2019134 
29-051082 U US MO SALISBURY        39 18 59.71N 092 53 00.82W TOWER              1 00166 00957 N 2 C N 2017ACE02270OE A 2018027 
29-060742 U US MO EXCELSIOR SPRING 39 18 59.92N 094 13 18.44W T-L TWR            1 00060 00924 N 4 D N 2019ACE02773OE A 2019130 
29-024889 O US MO MOSBY            39 19 02.00N 094 18 45.80W TOWER              1 00040 00823 N 5 E N 2015ACE04342OE C 2016042 
29-024170 O US MO KANSAS CITY      39 19 02.86N 094 43 25.29W POLE               1 00015 00995 U 1 A U                A 2014086 
29-020080 O US MO THOMPSON         39 19 02.90N 092 00 18.85W TOWER              1 00310 01102 D 2 C N 2007ACE05732OE C 2008347 
29-024171 O US MO KANSAS CITY      39 19 05.37N 094 43 16.27W POLE               1 00010 00989 U 1 A U                A 2014086 
29-060775 U US MO EXCELSIOR SPRING 39 19 06.76N 094 13 24.10W T-L TWR            1 00097 00941 N 4 D N 2019ACE02803OE A 2019134 
29-000029 O US MO LIBERTY          39 19 08.00N 094 29 49.00W TOWER              5 00357 01397 R 4 D M 1970ACE00036OE C 2014138 
29-006103 U US MO FRANKFORT        39 19 08.00N 093 01 01.00W T-L TWR            1 00154 00804 U     U                A 1976043 
29-060745 U US MO EXCELSIOR SPRING 39 19 08.51N 094 13 24.47W T-L TWR            1 00073 00925 N 4 D N 2019ACE02772OE A 2019129 
29-020362 O US MO PARIS            39 19 09.49N 091 57 04.33W TOWER              1 00320 01094 D 1 A N 2009ACE00888OE C 2010020 
29-024956 O US MO VANDALIA         39 19 09.72N 091 27 58.55W TOWER              1 00255 01018 D 2 C N 2016ACE00313OE C 2016082 
29-024795 O US MO KEARNEY          39 19 10.91N 094 21 54.34W TOWER              1 00145 01020 N 1 A N 2014ACE00889OE A 2014301 
29-024172 O US MO KANSAS CITY      39 19 11.06N 094 43 22.67W TOWER              1 00047 01024 U 1 A U                A 2014086 
29-024963 O US MO MOSBY            39 19 12.40N 094 18 47.00W BRIDGE             1 00017 00787 N 5 E N 2014ACE03015OE A 2016056 
29-060774 U US MO EXCELSIOR SPRING 39 19 13.18N 094 13 28.58W T-L TWR            1 00074 00957 N 4 D N 2019ACE02804OE A 2019130 
29-060743 U US MO EXCELSIOR SPRING 39 19 13.36N 094 13 27.91W T-L TWR            1 00068 00952 N 4 D N 2019ACE02771OE A 2019129 
29-050807 U US MO PLATTE CITY      39 19 14.58N 094 45 26.61W TOWER              1 00143 01112 N 4 D N 2015ACE03644OE A 2018027 
29-022276 O US MO MOSBY            39 19 15.40N 094 18 38.00W POLE               1 00036 00803 U 2 C U                A 2014007 
29-020213 O US MO VANDALIA         39 19 19.08N 091 28 43.78W TOWER              1 00320 01067 D 2 C N 2009ACE00880OE C 2009295 
29-020446 O US MO MOBERLY          39 19 20.47N 092 26 51.15W TOWER              1 00215 01101 D 2 C N 2016ACE00664OE C 2016084 
29-060777 U US MO EXCELSIOR SPRING 39 19 24.30N 094 13 30.27W T-L TWR            1 00067 00823 N 4 D N 2019ACE02805OE A 2019134 
29-060759 U US MO EXCELSIOR SPRING 39 19 24.62N 094 13 29.56W T-L TWR            1 00089 00846 N 4 D N 2019ACE02770OE A 2019130 
29-060776 U US MO EXCELSIOR SPRING 39 19 28.17N 094 13 37.19W T-L TWR            1 00060 00838 N 4 D N 2019ACE02806OE A 2019134 
29-060779 U US MO EXCELSIOR SPRING 39 19 29.19N 094 13 39.11W T-L TWR            1 00055 00831 N 4 D N 2019ACE02807OE A 2019134 
29-060741 U US MO EXCELSIOR SPRING 39 19 29.58N 094 13 38.48W T-L TWR            1 00073 00849 N 4 D N 2019ACE02769OE A 2019129 
29-024175 O US MO KANSAS CITY      39 19 29.87N 094 43 08.42W BLDG               1 00021 00991 U 1 A U                A 2014086 
29-060780 U US MO EXCELSIOR SPRING 39 19 30.75N 094 13 39.89W T-L TWR            1 00055 00833 N 4 D N 2019ACE02808OE A 2019130 
29-060753 U US MO EXCELSIOR SPRING 39 19 30.87N 094 13 38.46W UTILITY POLE       1 00047 00825 N 4 D N 2019ACE02768OE A 2019130 
29-061956 U US MO KEARNEY          39 19 32.55N 094 22 22.19W UTILITY POLE       1 00040 00957 N 4 D N 2019ACE05639OE A 2019226 
29-021118 O US MO FERRELVIEW       39 19 33.59N 094 39 33.70W TOWER              1 00170 01139 N 1 A N 2013ACE01458OE A 2013193 
29-002709 O US MO BOWLING GREEN    39 19 34.00N 091 10 54.00W TOWER              1 00345 01242 D 5 D N 2002ACE01260OE A 2003201 
29-020967 O US MO EXCELSIOR SPRING 39 19 39.50N 094 15 41.70W TOWER              1 00070 00925 N 5 E N 2012ACE03934OE A 2013057 
29-022274 O US MO MOSBY            39 19 40.70N 094 18 23.44W TOWER              1 00058 00833 U 2 C U                A 2014007 
29-081409 U US MO LIBERTY          39 19 41.44N 094 33 35.74W T-L TWR            1 00075 01084 N 4 D N 2021ACE02655OE A 2022119 
29-075854 U US MO KANSAS CITY      39 19 41.95N 094 42 40.92W TOWER              1 00040 00995 N 4 D N 2020ACE04103OE A 2020289 
29-081410 U US MO LIBERTY          39 19 42.88N 094 33 45.54W T-L TWR            1 00080 01084 N 4 D N 2021ACE02656OE A 2022119 
29-002372 O US MO BOWLING GREEN    39 19 43.75N 091 10 46.28W TOWER              1 00365 01258 D 1 A N 2008ACE03609OE C 2009341 
29-001630 O US MO KANSAS CITY      39 19 46.00N 094 34 56.00W TOWER              1 00307 01299 R 1 A M 2001ACE00967OE C 2001274 
29-024173 O US MO KANSAS CITY      39 19 49.71N 094 43 06.81W POLE               1 00035 00997 U 1 A U                A 2014086 
29-081411 U US MO LIBERTY          39 19 52.66N 094 34 49.96W T-L TWR            1 00070 01053 N 4 D N 2021ACE02657OE A 2022119 
29-001256 O US MO NASHUA/KANSAS CI 39 19 53.10N 094 34 55.10W TOWER              1 00329 01309 D 1 A N 2017ACE01375OE C 2017334 
29-020625 O US MO RICHMOND         39 19 53.48N 093 59 07.36W TOWER              1 00260 01022 D 2 C N 2010ACE00234OE A 2012046 
29-022275 O US MO MOSBY            39 19 57.45N 094 18 19.49W POLE               1 00001 00784 U 2 C U                A 2014007 
29-000285 O US MO CARROLLTON       39 19 58.00N 093 32 14.00W TOWER              1 00147 00817 N 5 D M                C 2014138 
29-060716 U US MO EXCELSIOR SPRING 39 20 16.94N 094 13 12.59W TOWER              1 00193 01106 N 4 D N 2019ACE02667OE A 2019151 
29-061953 U US MO EXCELSIOR SPRING 39 20 17.25N 094 13 12.36W TOWER              1 00199 01114 N 4 D N 2019ACE02949OE A 2019247 
29-020705 O US MO EXCELSIOR SPRING 39 20 17.90N 094 15 25.40W TOWER              1 00138 01049 N 5 E N 2012ACE00375OE A 2012108 
29-020541 O US MO PLATTE CITY      39 20 21.94N 094 44 16.95W T-L TWR            1 00095 01059 N 5 D N 2011ACE00834OE A 2011334 
29-020546 O US MO PLATTE CITY      39 20 22.10N 094 44 43.76W T-L TWR            1 00066 01013 N 5 D N 2011ACE00840OE A 2011340 
29-020542 O US MO PLATTE CITY      39 20 22.30N 094 44 39.42W T-L TWR            1 00075 01010 N 5 D N 2011ACE00839OE A 2011334 
29-020543 O US MO PLATTE CITY      39 20 22.34N 094 44 34.95W T-L TWR            1 00066 01016 N 5 D N 2011ACE00838OE A 2011340 
29-020544 O US MO PLATTE CITY      39 20 22.38N 094 44 31.13W T-L TWR            1 00066 01027 N 5 D N 2011ACE00837OE A 2011340 
29-020545 O US MO PLATTE CITY      39 20 22.43N 094 44 26.40W T-L TWR            1 00084 01027 N 5 D N 2011ACE00836OE A 2011340 
29-020547 O US MO PLATTE CITY      39 20 22.50N 094 44 21.49W T-L TWR            1 00090 01041 N 5 D N 2011ACE00835OE A 2011340 
29-001929 O US MO EXCELSIOR SPRING 39 20 23.00N 094 11 21.80W TANK               1 00120 01150 R 5 D P 2009ACE00508OE C 2010120 
29-050574 U US MO EXCELSIOR SPRING 39 20 24.00N 094 11 54.00W UTILITY POLE       1 00043 01019 N 4 D N 2013ACE02384OE A 2018027 
29-050580 U US MO EXCELSIOR SPRING 39 20 24.00N 094 11 55.00W UTILITY POLE       1 00043 01014 N 4 D N 2013ACE02386OE A 2018027 
29-081161 U US MO PLATTE CITY      39 20 24.41N 094 45 00.69W TOWER              1 00190 01163 N 4 D N 2021ACE07385OE A 2022067 
29-000457 O US MO CURRYVILLE       39 20 25.00N 091 24 45.00W TOWER              1 00405 01184 M 4 D N 2001ACE00179OE C 2001162 
29-024971 O US MO EXCELSIOR SPRING 39 20 25.00N 094 11 39.00W T-L TWR            1 00061 01038 R 5 D P 2013ACE02380OE A 2016081 
29-050579 U US MO EXCELSIOR SPRING 39 20 25.00N 094 11 54.00W UTILITY POLE       1 00048 01027 N 4 D N 2013ACE02383OE A 2018027 
29-000363 O US MO EXCELSIOR SPRIN  39 20 26.00N 094 14 27.00W TOWER              1 00225 01100 U 9 I M                C 2014138 
29-024972 O US MO EXCELSIOR SPRING 39 20 26.00N 094 11 39.00W T-L TWR            1 00048 01025 R 5 D P 2013ACE02381OE A 2016081 
29-050583 U US MO EXCELSIOR SPRING 39 20 26.00N 094 11 54.00W T-L TWR            1 00061 01035 N 4 D N 2013ACE02382OE A 2018027 
29-020529 O US MO PLATTE CITY      39 20 26.86N 094 44 06.89W T-L TWR            1 00090 01043 N 5 D N 2011ACE00832OE A 2011306 
29-020528 O US MO PLATTE CITY      39 20 26.96N 094 44 03.65W T-L TWR            1 00066 01034 N 5 D N 2011ACE00831OE A 2011306 
29-020549 O US MO PLATTE CITY      39 20 27.01N 094 44 00.39W T-L TWR            1 00075 01026 N 5 D N 2011ACE00830OE A 2011340 
29-020530 O US MO PLATTE CITY      39 20 27.93N 094 44 11.55W T-L TWR            1 00095 01058 N 5 D N 2011ACE00833OE A 2011306 
29-004015 O US MO WOOD HEIGHTS     39 20 28.94N 094 08 56.40W TOWER              1 00240 01323 D 1 A N 2008ACE03793OE C 2008357 
29-020548 O US MO PLATTE CITY      39 20 29.74N 094 43 58.24W T-L TWR            1 00070 01031 N 5 D N 2011ACE00829OE A 2011340 
29-089230 U US MO BOWLING GREEN    39 20 31.54N 091 13 07.37W T-L TWR            1 00067 00921 N 4 D N 2022ACE08845OE A 2023318 
29-020533 O US MO PLATTE CITY      39 20 33.14N 094 43 58.24W T-L TWR            1 00062 01034 N 5 D N 2011ACE00828OE A 2011333 
29-001504 O US MO RICHMOND         39 20 35.03N 094 03 13.79W TOWER              1 00325 01255 R 4 D P 2021ACE11074OE C 2023024 
29-089229 U US MO BOWLING GREEN    39 20 35.12N 091 13 05.06W T-L TWR            1 00102 00960 N 4 D N 2022ACE08844OE A 2023318 
29-089231 U US MO BOWLING GREEN    39 20 35.13N 091 13 12.37W T-L TWR            1 00093 00948 N 4 D N 2022ACE08846OE A 2023318 
29-020538 O US MO PLATTE CITY      39 20 36.25N 094 43 58.24W T-L TWR            1 00062 01042 N 5 D N 2011ACE00827OE A 2011334 
29-001544 O US MO BOWLING GREEN    39 20 36.55N 091 18 20.62W TOWER              1 00409 01264 M 1 A N 2022ACE06656OE C 2023157 
29-020617 O US MO MADISON          39 20 37.64N 092 12 10.63W TOWER              1 00260 01081 D 1 A N 2010ACE02234OE A 2012045 
29-024836 O US MO BOWLING GREEN    39 20 38.60N 091 13 56.49W TOWER              1 00238 01082 D 2 C N 2016ACE00665OE C 2016187 
29-089232 U US MO BOWLING GREEN    39 20 38.70N 091 13 12.34W T-L TWR            1 00088 00952 N 4 D N 2022ACE08847OE A 2023318 
29-002357 O US MO RENICK           39 20 38.70N 092 25 01.80W TOWER              1 00348 01218 D 2 C N 2013ACE00195OE C 2013060 
29-089233 U US MO BOWLING GREEN    39 20 38.80N 091 13 07.43W T-L TWR            1 00087 00952 N 4 D N 2022ACE08848OE A 2023318 
29-020539 O US MO PLATTE CITY      39 20 39.44N 094 43 58.23W T-L TWR            1 00062 01052 N 5 D N 2011ACE00826OE A 2011334 
29-020537 O US MO PLATTE CITY      39 20 42.72N 094 43 58.23W T-L TWR            1 00062 01054 N 5 D N 2011ACE00825OE A 2011334 
29-022277 O US MO MOSBY            39 20 45.70N 094 18 25.60W POLE               1 00045 00835 U 2 C U                A 2014007 
29-020535 O US MO PLATTE CITY      39 20 45.88N 094 43 58.23W T-L TWR            1 00062 01058 N 5 D N 2011ACE00824OE A 2011333 
29-000572 O US MO BOWLING GREEN    39 20 46.00N 091 12 36.00W TOWER              1 00170 01049 N 5 D N 1993ACE00018OE C 2014138 
29-021127 O US MO EXCELSIOR SPRING 39 20 46.73N 094 17 59.94W POLE               1 00068 00904 N 5 E N 2012ACE03158OE A 2013198 
29-050754 U US MO EXCELSIOR SPRING 39 20 47.20N 094 14 49.37W BLDG               1 00035 00974 N 4 D N 2015ACE01385OE A 2018024 
29-020531 O US MO PLATTE CITY      39 20 49.15N 094 43 58.23W T-L TWR            1 00062 01073 N 5 D N 2011ACE00823OE A 2011333 
29-020540 O US MO PLATTE CITY      39 20 52.31N 094 43 58.23W T-L TWR            1 00062 01084 N 5 D N 2011ACE00822OE A 2011341 
29-020719 O US MO ARMSTRONG        39 20 52.50N 092 39 44.72W TOWER              1 00215 00980 D 2 C N 2009ACE01497OE A 2012137 
29-020536 O US MO PLATTE CITY      39 20 55.89N 094 43 58.23W T-L TWR            1 00062 01078 N 5 D N 2011ACE00821OE A 2011333 
29-020534 O US MO PLATTE CITY      39 20 58.51N 094 43 58.23W T-L TWR            1 00066 01074 N 5 D N 2011ACE00820OE A 2011333 
29-001410 O US MO BEVERLY          39 20 59.00N 094 54 00.00W TANK               1 00114 00881 R 4 D N                C 2014138 
